,,Most Common Lane,Champion Name,Low Mastery Win Rate,Medium Mastery Win Rate,Low Mastery Ratio,,,
,,Support,Braum,47.75%,51.48%,0.93,,,
,,ADC,Vayne,46.41%,50.26%,0.92,,Low Mastery Ratio,
,,Support,Janna,46.54%,50.53%,0.92,,If high:,Easy to Learn
,,Support,Karma,44.62%,48.46%,0.92,,If low:,Hard to Learn
,,Support,Xerath,47.08%,51.28%,0.92,,,
,,Support,Nami,45.68%,49.75%,0.92,,Low Mastery:,"<10,000"
,,ADC,Sivir,47.29%,51.57%,0.92,,Medium Mastery:,"10,000-100,000"
,,ADC,Lucian,44.87%,48.99%,0.92,,,
,,Jungle,Graves,44.14%,48.27%,0.91,,,
,,ADC,Kai'Sa,44.86%,49.14%,0.91,,,
,,Top,Gnar,44.43%,48.69%,0.91,,,
,,ADC,Samira,46.04%,50.47%,0.91,,,
,,ADC,Xayah,46.25%,50.78%,0.91,,,
,,ADC,Tristana,46.16%,50.69%,0.91,,,
,,Middle,Ryze,44.24%,48.78%,0.91,,,
,,ADC,Jhin,45.91%,50.64%,0.91,,,
,,ADC,Kalista,43.04%,47.50%,0.91,,,
,,Jungle,Lee Sin,43.18%,47.66%,0.91,,,
,,Middle,LeBlanc,43.62%,48.17%,0.91,,,
,,Middle,Ahri,46.42%,51.29%,0.90,,,
,,Support,Soraka,46.03%,50.98%,0.90,,,
,,ADC,Ezreal,43.29%,47.97%,0.90,,,
,,Support,Brand,46.96%,52.04%,0.90,,,
,,Support,Alistar,45.51%,50.45%,0.90,,,
,,ADC,Caitlyn,43.54%,48.31%,0.90,,,
,,Top,Jax,45.42%,50.40%,0.90,,,
,,Support,Blitzcrank,46.53%,51.66%,0.90,,,
,,Support,Sona,47.84%,53.13%,0.90,,,
,,Top,Fiora,45.72%,50.77%,0.90,,,
,,Support,Leona,45.70%,50.75%,0.90,,,
,,ADC,Ashe,45.08%,50.10%,0.90,,,
,,Middle,Irelia,44.46%,49.46%,0.90,,,
,,Support,Lulu,43.66%,48.66%,0.90,,,
,,Middle,Sylas,45.03%,50.23%,0.90,,,
,,Jungle,Ekko,45.14%,50.35%,0.90,,,
,,ADC,Varus,45.44%,50.72%,0.90,,,
,,Middle,Viktor,46.33%,51.71%,0.90,,,
,,ADC,Jinx,46.42%,51.82%,0.90,,,
,,Middle,Taliyah,43.89%,49.00%,0.90,,,
,,Middle,Galio,46.07%,51.47%,0.90,,,
,,Top,Malphite,47.74%,53.34%,0.90,,,
,,ADC,Twitch,44.85%,50.14%,0.89,,,
,,Support,Heimerdinger,47.05%,52.63%,0.89,,,
,,Middle,Lissandra,45.50%,50.92%,0.89,,,
,,ADC,Kog'Maw,46.49%,52.05%,0.89,,,
,,Middle,Zed,42.93%,48.13%,0.89,,,
,,Middle,Kassadin,44.27%,49.62%,0.89,,,
,,Middle,Cassiopeia,47.17%,52.92%,0.89,,,
,,Middle,Yasuo,42.94%,48.19%,0.89,,,
,,Support,Lux,44.80%,50.37%,0.89,,,
,,ADC,Miss Fortune,45.36%,51.04%,0.89,,,
,,Top,Nasus,45.37%,51.05%,0.89,,,
,,Middle,Veigar,47.28%,53.24%,0.89,,,
,,ADC,Draven,43.86%,49.41%,0.89,,,
,,Top,Kennen,45.56%,51.37%,0.89,,,
,,Top,Renekton,43.02%,48.52%,0.89,,,
,,Top,Garen,44.77%,50.50%,0.89,,,
,,Middle,Yone,43.40%,48.97%,0.89,,,
,,Jungle,Kha'Zix,44.00%,49.70%,0.89,,,
,,Support,Seraphine,44.98%,50.83%,0.88,,,
,,Middle,Akali,41.19%,46.56%,0.88,,,
,,Jungle,Xin Zhao,45.32%,51.22%,0.88,,,
,,Support,Morgana,44.38%,50.22%,0.88,,,
,,Jungle,Diana,44.59%,50.50%,0.88,,,
,,Jungle,Sejuani,45.71%,51.77%,0.88,,,
,,Jungle,Trundle,45.80%,51.91%,0.88,,,
,,Support,Swain,45.79%,51.93%,0.88,,,
,,Jungle,Amumu,46.43%,52.70%,0.88,,,
,,Top,Teemo,44.39%,50.38%,0.88,,,
,,Middle,Neeko,44.71%,50.76%,0.88,,,
,,Middle,Orianna,43.89%,49.84%,0.88,,,
,,Top,Camille,44.16%,50.19%,0.88,,,
,,Top,Jayce,44.47%,50.56%,0.88,,,
,,Middle,Corki,42.33%,48.15%,0.88,,,
,,Top,Cho'Gath,46.20%,52.56%,0.88,,,
,,Top,Dr. Mundo,48.55%,55.29%,0.88,,,
,,Support,Maokai,46.41%,52.85%,0.88,,,
,,Top,Ornn,45.72%,52.10%,0.88,,,
,,Support,Renata Glasc,46.45%,52.96%,0.88,,,
,,Middle,Vex,46.00%,52.48%,0.88,,,
,,Support,Rakan,46.28%,52.80%,0.88,,,
,,Middle,Malzahar,45.83%,52.29%,0.88,,,
,,Middle,Syndra,44.41%,50.69%,0.88,,,
,,Support,Bard,43.67%,49.86%,0.88,,,
,,Top,Tryndamere,42.78%,48.94%,0.87,,,
,,Top,Olaf,45.63%,52.22%,0.87,,,
,,Support,Nautilus,44.35%,50.76%,0.87,,,
,,ADC,Nilah,48.99%,56.07%,0.87,,,
,,Jungle,Elise,44.10%,50.49%,0.87,,,
,,Support,Senna,45.35%,51.94%,0.87,,,
,,Top,Darius,42.03%,48.14%,0.87,,,
,,Support,Zyra,46.25%,52.98%,0.87,,,
,,Top,Sion,46.66%,53.49%,0.87,,,
,,Jungle,Gragas,43.86%,50.29%,0.87,,,
,,Middle,Pantheon,44.65%,51.20%,0.87,,,
,,Jungle,Nocturne,46.95%,53.86%,0.87,,,
,,Jungle,Master Yi,43.42%,49.82%,0.87,,,
,,ADC,Aphelios,41.63%,47.77%,0.87,,,
,,Support,Vel'Koz,44.77%,51.38%,0.87,,,
,,Jungle,Vi,45.96%,52.75%,0.87,,,
,,Support,Zilean,45.27%,52.02%,0.87,,,
,,Top,Sett,43.57%,50.09%,0.87,,,
,,Jungle,Volibear,43.70%,50.24%,0.87,,,
,,Jungle,Jarvan IV,47.24%,54.34%,0.87,,,
,,Jungle,Wukong,44.87%,51.62%,0.87,,,
,,Jungle,Karthus,45.30%,52.21%,0.87,,,
,,Middle,Fizz,44.64%,51.44%,0.87,,,
,,Top,Gangplank,41.46%,47.83%,0.87,,,
,,Top,Rumble,42.88%,49.47%,0.87,,,
,,Top,Mordekaiser,45.59%,52.60%,0.87,,,
,,Support,Pyke,42.28%,48.80%,0.87,,,
,,Middle,Twisted Fate,42.41%,48.96%,0.87,,,
,,Jungle,Poppy,44.42%,51.30%,0.87,,,
,,Support,Thresh,43.27%,49.99%,0.87,,,
,,Middle,Annie,46.54%,53.81%,0.86,,,
,,Middle,Ziggs,46.04%,53.25%,0.86,,,
,,Middle,Katarina,40.56%,46.93%,0.86,,,
,,Top,Kled,45.82%,53.03%,0.86,,,
,,Top,Shen,44.48%,51.49%,0.86,,,
,,Jungle,Kayn,43.26%,50.10%,0.86,,,
,,Middle,Talon,42.71%,49.58%,0.86,,,
,,Jungle,Viego,43.44%,50.46%,0.86,,,
,,Top,Kayle,45.29%,52.64%,0.86,,,
,,Middle,Zoe,41.69%,48.45%,0.86,,,
,,Support,Milio,47.07%,54.75%,0.86,,,
,,Jungle,Zac,45.14%,52.51%,0.86,,,
,,Support,Taric,44.89%,52.26%,0.86,,,
,,Middle,Azir,39.77%,46.29%,0.86,,,
,,Top,Quinn,43.46%,50.61%,0.86,,,
,,Support,Rell,45.83%,53.39%,0.86,,,
,,Jungle,Nidalee,41.83%,48.74%,0.86,,,
,,ADC,Zeri,43.86%,51.26%,0.86,,,
,,Top,Urgot,44.03%,51.50%,0.85,,,
,,Top,Yorick,45.43%,53.27%,0.85,,,
,,Top,Tahm Kench,44.00%,51.61%,0.85,,,
,,Jungle,Rammus,46.50%,54.76%,0.85,,,
,,Jungle,Kindred,42.37%,49.95%,0.85,,,
,,Jungle,Lillia,44.57%,52.57%,0.85,,,
,,Jungle,Shyvana,44.32%,52.32%,0.85,,,
,,Top,Illaoi,44.60%,52.66%,0.85,,,
,,Top,Gwen,43.34%,51.18%,0.85,,,
,,Jungle,Shaco,41.42%,49.20%,0.84,,,
,,Jungle,Evelynn,42.36%,50.49%,0.84,,,
,,Jungle,Warwick,42.84%,51.08%,0.84,,,
,,Middle,Anivia,43.97%,52.45%,0.84,,,
,,Jungle,Hecarim,42.86%,51.33%,0.84,,,
,,Jungle,Rengar,40.54%,48.56%,0.83,,,
,,Middle,Vladimir,42.92%,51.54%,0.83,,,
,,Top,Aatrox,40.16%,48.37%,0.83,,,
,,Jungle,Skarner,44.53%,53.73%,0.83,,,
,,Jungle,Rek'Sai,41.99%,50.67%,0.83,,,
,,Middle,Aurelion Sol,45.70%,55.30%,0.83,,,
,,Middle,Akshan,43.44%,52.73%,0.82,,,
,,Top,Singed,44.57%,54.13%,0.82,,,
,,Top,Riven,40.21%,48.90%,0.82,,,
,,Jungle,Bel'Veth,43.81%,53.51%,0.82,,,
,,Middle,Qiyana,38.94%,47.70%,0.82,,,
,,Jungle,Fiddlesticks,42.59%,52.53%,0.81,,,
,,Jungle,Udyr,41.78%,51.70%,0.81,,,
,,Support,Yuumi,39.22%,49.29%,0.80,,,
,,Top,K'Sante,39.57%,50.81%,0.78,,,
,,Jungle,Ivern,37.51%,49.86%,0.75,,,
,,Jungle,Nunu & Willump,37.36%,50.23%,0.74,,,